,subject,reward,discipline,audience
139,bostrom16d69u47km5vqdvf6fr8qyhktlacgka7fdvazr8,14751375909.0,investors.takeoff,investors
140,bostrom1njsr8tngxtygsc73mrtn5738ztkzqy7c7y7h3t,14737589328.0,investors.takeoff,investors
141,bostrom1kf0d64nuwsf2zeul5wkx78fsznplnlpsfh7fqw,11673069511.0,investors.takeoff,investors
142,bostrom18ghjkwygsvjcsh20tc5zzhfttxxuex7a9lq8ps,9561458741.0,investors.takeoff,investors
143,bostrom1s2a7rckcky6jmhncxwy0xtwf2ymg87puk6jpzz,9246030793.0,investors.takeoff,investors
144,bostrom1679yrs8dmska7wcsawgy2m25kwucm3z0hwr74y,4225275377.0,investors.takeoff,investors
145,bostrom15gk8edxtvvp372flljk884fav55y8ehwru4u8w,2279889403.0,investors.takeoff,investors
146,bostrom1jz57cgfr248y9w6sn76l7pugjkr6e7zh6y2grp,2178739020.0,investors.takeoff,investors
147,bostrom1gw5kdey7fs9wdh05w66s0h4s24tjdvtc9v6vpe,1755881840.0,investors.takeoff,investors
148,bostrom1kajt7sxfpnfujm7ptj90654lmwz4sftpc9mp9a,1743792737.0,investors.takeoff,investors
149,bostrom1t575qeee3qgshuf964qal057z77vljqef9tlck,1099995800.0,investors.takeoff,investors
150,bostrom105zy26ze9gean4qukqlvhkv4mtcndc9t2xaydz,1006206924.0,investors.takeoff,investors
151,bostrom1a30w6j4m6g3s2c6zt02z56xynnuaqmn3ahwxuq,774688373.0,investors.takeoff,investors
152,bostrom1pmaltcu0x97x8j5klc8xluaapkzcvztcn2vkmw,734384390.0,investors.takeoff,investors
153,bostrom1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4uwev5z,704276829.0,investors.takeoff,investors
154,bostrom1u3ap2d4ytcqrr6jlsjf380g3lvgldq4m64s7dg,673130864.0,investors.takeoff,investors
155,bostrom1keny4peq77drtcdj6fscd9eknqcqyjmxqcr8t8,647527281.0,investors.takeoff,investors
156,bostrom1kk79xcsuah7ckvunku78094gyh7900ehkllkur,173703544.0,investors.takeoff,investors
157,bostrom137eezcxcyqgt6kshfdfuvnsdgwpujyje2l8qdz,73708712.0,investors.takeoff,investors
158,bostrom1uz39kh64w8p5df034fh6g5hwpdq8m0h5rx58he,49997750.0,investors.takeoff,investors
159,bostrom1kz6s2mp4rg7plj8p4qqe2wkegn4ldw3ak2a7qc,233827.0,investors.takeoff,investors
160,bostrom1quchyywzdxp62dq3rwan8fg35v6j58sjwnfpuu,400000000000.0,gol.comm_pool,hackers
161,bostrom1x95keq9l9y9p7hjdt6xd8wnknrpnjsqrqhpwc9,150000000000.0,gol.comm_pool,hackers
162,bostrom1z98eg2ztdp2glyla62629nrlvczg8s7fvc0znp,100000000000.0,gol.comm_pool,hackers
163,bostrom1xvssufw8ke03halg8wgu8m994ktxz0y9vm6tqn,100000000000.0,gol.comm_pool,hackers
164,bostrom1vxxfhd8txmrq76jx3gj7sdrvg0vvqret6kxpgd,100000000000.0,gol.comm_pool,hackers
165,bostrom1vtu55cc7m6yz9zfg5vqdk80f2g68petgzj9fv4,100000000000.0,gol.comm_pool,hackers
166,bostrom16yf94eecl6h44l5w7zp75skh3rg0k4veavx762,15000000000.0,gol.comm_pool,hackers
167,bostrom1gxyf6tsjamnavmkfk43mwfzwscn4tgfkz8k85n,5000000000.0,gol.comm_pool,hackers
168,bostrom1qn8sr2hzmktlecusdtxj9hwj0upnm0jft9snar,1265001729654.0,investors.port,investors
169,bostrom1w4tvyvf3hhpcwv9d4axa8n0mmj5d6ypvpq5mj6,278432605496.0,investors.port,investors
170,bostrom1xk4a2u2rjt7mqu5eg8xtxk37l28r3cugkqk9lp,233157212646.0,investors.port,investors
171,bostrom143x4d5wx50204zyreqg8ekgq3n3fcaxucacztp,9826875134.0,investors.port,investors
172,bostrom1y83nga220nfjt9zz0mmqc90cd705az95n5cfwj,9608859331.0,investors.port,investors
173,bostrom1hyjhy0tp6geral2g9vj9nyteglf8t5q42gfq3j,2184963106.0,investors.port,investors
174,bostrom1d8mq46wt2yxsgwrmh6hhfgycl0537w8gggn47f,2182283065.0,investors.port,investors
175,bostrom1p0r7uxstcw8ehrwuj4kn8qzzs0yypsjwxgd445,1992130580.0,investors.port,investors
176,bostrom1duc9gthaeg82lx9pdf642g043xqhgxgxmfvwsz,993141688.0,investors.port,investors
177,bostrom1a4mzr2y2g0cc9f0uhyeh3ftmsfxzqwxfdqtd7c,972470487.0,investors.port,investors
178,bostrom1xpl2sx64ra5san4su0r0hj8z9eh5cf5dcv48qa,970654649.0,investors.port,investors
179,bostrom1hem3076xmat8ttr0cg0nnn2lghtc2p7xtzpj8s,951329198.0,investors.port,investors
180,bostrom1402rpwdquxxkgvl740f6w69l65eau5vkqcvrax,949629027.0,investors.port,investors
181,bostrom1cg79pj70mgl8xlum0rw5yy6enk9jszsrzvwysn,947937939.0,investors.port,investors
182,bostrom18naxcfp2s397a2ucav2m53f003uylk3qz9fvr7,658690702.0,investors.port,investors
183,bostrom1wnpak7sfawsfv9c8vqe7naxfa4g99lv77d7c0z,658125569.0,investors.port,investors
184,bostrom1z8mlsd42eaguaqf5gexy5a7jxgpwpgvz99qzft,218609970.0,investors.port,investors
185,bostrom1v2n3hg6s4resacgpemfyrd5hul2ntk7tftnk6u,218382779.0,investors.port,investors
186,bostrom1s2a7rckcky6jmhncxwy0xtwf2ymg87puk6jpzz,218362161.0,investors.port,investors
187,bostrom1ufpz4dlnfawg0pr5dcq4hkrf9gs30mu0272p9w,218341548.0,investors.port,investors
188,bostrom1mkhugmqg9c0qe27stz3m4my9xq7e9pct0jyr3p,218115192.0,investors.port,investors
189,bostrom1argjwgcplguenq4l92ggn06wadnfrz0ecqrmqs,5612582845.0,heroes.pre_bostrom,heroes
