,subject,sum
24,bostrom1ffve0zx389ffl80ae9t8jmghcjuzdlqr5eayfd,701778551659.0
25,bostrom1ftah3e558ww7xutn5w8h7vrqa9v69pntztnr3p,622444466499.0
26,bostrom1wnpak7sfawsfv9c8vqe7naxfa4g99lv77d7c0z,517421971282.0
27,bostrom14nzyt8wmx4g6zkeluelukamgsh5v4xgnc25k6j,508729659282.0
28,bostrom1sng0f47cuvx6edxaujh24wc3dvk94q0w6r6smh,474221734944.0
29,bostrom1quchyywzdxp62dq3rwan8fg35v6j58sjwnfpuu,432771825520.0
30,bostrom1mcslqq8ghtuf6xu987qtk64shy6rd86a2xtwu8,400000000000.0
31,bostrom1679yrs8dmska7wcsawgy2m25kwucm3z0hwr74y,388969016352.0
32,bostrom1hmkqhy8ygl6tnl5g8tc503rwrmmrkjcq3lduwj,386336649906.0
33,bostrom1ymprf45c44rp9k0g2r84w2tjhsq7kalv98rgpt,369099401568.0
34,bostrom1d8754xqa9245pctlfcyv8eah468neqzn3a0y0t,360239818444.0
35,bostrom1sgy27lctdrc5egpvc8f02rgzml6hmmvh5wu6xk,359172486938.0
36,bostrom12psudf4rpaw4jwhuyx3y8sejhsynae7gv53hn6,320106862931.0
37,bostrom178q202gz0093uke0jy96psyya452rt8apl4has,285239999451.0
38,bostrom1cg79pj70mgl8xlum0rw5yy6enk9jszsrzvwysn,279430823965.0
39,bostrom1w4tvyvf3hhpcwv9d4axa8n0mmj5d6ypvpq5mj6,278432605496.0
40,bostrom13dpy00jest96g7h5vdgvg9zpxq6xnclh5hzw5l,258229369437.0
41,bostrom1kr6udadsvdjymq6m75un4khg27t25st2jn8sag,255496772589.0
42,bostrom1mdq5r6az6z8su68zj6px88j2ukr78ea4ggkzt6,237448433882.0
43,bostrom1xk4a2u2rjt7mqu5eg8xtxk37l28r3cugkqk9lp,233157212646.0
44,bostrom177y7sqkxmvl22j632haf8y9gv0j3wedssq5m50,227878425830.0
45,bostrom1w8ap0ns4d5fagjfwvph6t99uet0cwv6y6r03un,200997782490.0
46,bostrom1svm5wl5jf4p7dwemj7wh0p4egr3js6rqtlnefu,197153970492.0
47,bostrom1gnnd2eaeqpp6lsd34tnp6j0m85h6r9qg0wh3vr,194917719034.0
48,bostrom1t0hmc79ht0qja92p6qgxn3ee3a3rzqutv7thqn,188630461585.0
49,bostrom1ggc9sqvj0uhnzwxu5dyzcr05shwd2vv2guqmas,188148534837.0
50,bostrom12q68xfj4r00nxnjrqk742rf0z2w6jmwaeppvr0,183750995527.0
51,bostrom1lepnu7nt05g79jtmfp2pgrpys3fjc4p74sc0l2,182911039870.0
52,bostrom1zhy7l8phhpsm2c6xl9c5arcu0z90clynluwrw5,161481707259.0
53,bostrom1d5lu67hu3lhqtw6zyv7uy4gkfpdtfnzxdu6mrq,157995617348.0
54,bostrom1zy553za8nenzukmv65240323jhuvxzym4pl6w9,154293211852.0
55,bostrom1x95keq9l9y9p7hjdt6xd8wnknrpnjsqrqhpwc9,150000000000.0
56,bostrom1k60sfzh3ecyqfv36f7zav0089077e4zk4g6mxa,146840247453.0
57,bostrom16jttzjgks48kqrhk5e68yv0gv6dt0rpw2f5pwn,141302079887.0
58,bostrom1kpep8dl93ud4wgpws3tcew6as2s36c9v3csw89,140997260087.0
59,bostrom16lvsv3w7rnhcm079v6j9eah3xd0p3pd37hl48j,122742180846.0
60,bostrom1ke7kxdn29w2lrxt9dzusa6shvmwd8xm9gxm2zf,120588855018.0
61,bostrom1e20hw2pqcgxvumkwn2qeeavcrswzskzjhr2aq0,119454359990.0
62,bostrom1dt9lwmuq8rkngm5gajxchqhpcnavgp7md9v929,115117293353.0
63,bostrom1mnrwpdlnglhtqwa55fa66va0j3fv72nvkz4e2x,114829832854.0
64,bostrom15zs0cjct43xs4z4sesxcrynar5mxm82f0ykhl3,111131994342.0
65,bostrom1z98eg2ztdp2glyla62629nrlvczg8s7fvc0znp,100000000000.0
66,bostrom1vxxfhd8txmrq76jx3gj7sdrvg0vvqret6kxpgd,100000000000.0
67,bostrom1vtu55cc7m6yz9zfg5vqdk80f2g68petgzj9fv4,100000000000.0
68,bostrom1xvssufw8ke03halg8wgu8m994ktxz0y9vm6tqn,100000000000.0
69,bostrom1dxpm2ne0jflzr2hy9j5has6u2dvfv68calunqy,99815252312.0
70,bostrom16macu2qtc0jmqc7txvf0wkz84cycsx728ah0xc,97996176301.0
71,bostrom18naxcfp2s397a2ucav2m53f003uylk3qz9fvr7,95514429798.0
72,bostrom17z2fywzrdld7qmwzpsq0atxfwcns8rp833rgxy,95223358775.0
73,bostrom1tu0e0ggvjtv4gvzcranjnrykac0umnf8y8fm0r,92010985676.0
74,bostrom1sltcfypwms38jjj3g38rg7ldx3e6uqrzrnkf9y,91965450766.0
75,bostrom1en69twaxmv7xupy8lq7y539dpecx7yz8g0k8ft,88440007493.0
76,bostrom12xsg4qm4k5z48s79zdsz84jlhv56kmta3vyfvl,74772629353.0
77,bostrom1f7nx65pmayfenpfwzwaamwas4ygmvalq2q2ayq,73338027208.0
78,bostrom1daxxqs56f6j5qxxtjrjkexghsmnaj66tejshc8,72921262872.0
79,bostrom152m9xcx0ht7yxr5834ju7qjcyvetw8amd04apw,71337787640.0
80,bostrom1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9qtp86sk,70907190105.0
81,bostrom1my32szlwazg9x56xqvsvtp0hqvpzm0r4u3k4ae,70271964895.0
82,bostrom1g0ap9fvex93yzzj69uzl74942vjvq8e4f8xtyr,67992083477.0
83,bostrom16zms8r32vad3z8hl2vc6wrcnanwmxf0dgh25yp,67229160818.0
84,bostrom18z9vsjffvggluxcxfqwsmrz02v37hx2e3auyn2,63671664821.0
85,bostrom1d3zlsrjyl3tzp3aly7vjduhrtrtvkvkeaqpdku,63422106566.0
86,bostrom1stfw0z5nf2ncxxtrk7zndpf2dla3nh379egwcy,61678847673.0
87,bostrom18jwk949jqgq3j2du2dgscqxqkkqw5rsjfuucf3,61558395847.0
88,bostrom13fwhvawke6867s6raqux25fd24t89j5h8wf2v0,60883067675.0
89,bostrom1lpfs6xv765u4yxr8rlyn5ux0g2a8tyt90hsnas,59256843788.0
90,bostrom147rnn0rxqkythj4j9ccq0kytmh7f005rn0a3zj,55311848847.0
91,bostrom1njsr8tngxtygsc73mrtn5738ztkzqy7c7y7h3t,51066633718.0
92,bostrom1argjwgcplguenq4l92ggn06wadnfrz0ecqrmqs,50591836687.0
93,bostrom1smqr5tp684g07aekcn0w852wqlme5mn6dmsny3,47098839942.0
94,bostrom1dl5df5g2xwj02e93k547etw2ergvc3a20v5ekz,46480474242.0
95,bostrom1eqkdzfcjnu20ywju35rf3nutxzjxjaqnxqfyyz,44081312892.0
96,bostrom1ldjugf3uj2gwkmmsf5japfknf96zv6hw7xw7v4,43229857071.0
97,bostrom1waac73cpffx7suhpkvnn8w0a8s2cgzn66x2aka,42415701749.0
98,bostrom13ume6mqte5h9ngx2hh6ngc8aham7x0k6stuvkm,41813199988.0
99,bostrom1y9zkl7uqjev899swng4eqfuurwaxpchwppewyc,40330418998.0
100,bostrom14d92r4svhl4qa3g6q48tjekarw2kt67ngqn4lr,40000000000.0
101,bostrom19ys53t55r725j882gjcrnf7s449gdrds3h2hu4,38253993813.0
102,bostrom16lf2hvzy4n4gvtx37pgkkdw2e2psfjjdpej53p,37988147654.0
103,bostrom1fapqgamx3c8za8d3z56sydjtjygyu0ly752j8g,37850807372.0
104,bostrom1v5jqg6k7mszmchhz8kyfml5h4e2txct9jz3am4,37418729590.0
105,bostrom1x7wp0u877dkw7m84jv54c9g6zpd5r8t2nm47gn,33812731064.0
106,bostrom1w4548vrnvc7t9j2ly55nvkjvhwqt9thnfcvuw6,33395512349.0
107,bostrom1ccvpcq9ffy0qd2ca8nmmpzfamtyjfc9znwak8m,32639852509.0
108,bostrom133t8m00w7llsslnf05zdhehharntly8dqzpfs8,31992273571.0
109,bostrom1kgq82m6z2jttytv7fvwy2rklhq5k03gc2h9sej,30494554808.0
110,bostrom1smtmk8fe3qhlwj3h7nynl6p42946qydzvgj9va,29390986364.0
111,bostrom1hvk6s053m6qdlz9kwllgldwf4qp2c3mrlh9s2q,29370149824.0
112,bostrom152kqs8p7d3jy6kn4uk87ve3alkuqjgewt3cmvz,28921406054.0
113,bostrom1gss7y04dky2fykck4dyp0pe39wxawlxm2l0yj2,28704261935.0
114,bostrom1ch6nukdgj55c9sk4h5t8spzhahuuvn86gqvarm,27485323135.0
115,bostrom1rqudjcrdwqedffxufmqgsleuguhm7pkaq0alce,27363284437.0
116,bostrom1qgqkc9t3pfsp6yxjwds70e4r9y0p6resmfnymc,26376882296.0
117,bostrom12kd8w45rqxuwpwqvpmdyvvdey9ezeqhav4nn85,26208333897.0
118,bostrom16yf94eecl6h44l5w7zp75skh3rg0k4veavx762,25185396846.0
119,bostrom1dn09uyhwmv3ratntc7c603vczgrec32c2fylpj,24175157388.0
120,bostrom1qezgmksavgdvcvf9ckhazfy3jfw8whhzfrvtlz,21979059507.0
121,bostrom1d552nfgekkugdgxw3zl242qpxapl67jfkz76tp,21555502893.0
122,bostrom1cerh237zd5rdexptjw8ryhwdf2tc9eupz7sfn0,20918517127.0
123,bostrom10vpygn9ftv85ra7j7qpewuq5jdgvpjmehlds0g,20335729382.0
124,bostrom1teuan269feyw4ax94jfp4pcgrhqnn28gxxz8mw,20201178320.0
125,bostrom1d6nkeqxmme3564wd889kr6cjed3asxqzjve0wl,20000000000.0
126,bostrom1djdfq5mn3dzm9whpznczxz77s8ep2qggc5w5xn,20000000000.0
127,bostrom1edwwsevuywe3sx82sustvyx3f3cvjt44ugccgy,20000000000.0
128,bostrom1gcy4f6f2sc73aegd9r68rt2q6teekl6swjva3p,20000000000.0
129,bostrom17ud38eyfkd800kvw3c9kl3zpvgvj296nfszelr,20000000000.0
130,bostrom1tcnlvf6qhlc3x7ax2vk3vzhxhf8wy8xrnjl72d,20000000000.0
131,bostrom1d9en5u0cfaucavx848qeq4k6ywqd3z5d5a778h,20000000000.0
132,bostrom1z8fyzv3mjfccvrxhckr2u3lnc0hrgrlm4zkf8c,20000000000.0
133,bostrom19rtverjn8kw7dzwzch2elktxgcmak6dlqugxfw,20000000000.0
134,bostrom18t3kx877vyvstcvn50cgn5w6hppe8ce0pq72m2,18546327724.0
135,bostrom1csf3up94qheqz88fvvlwjl7vc5sdymarktrvpw,18442151620.0
136,bostrom1kfqv2fzzu6dgwnf6snql2jslwdws07fl2gz37u,17879700159.0
137,bostrom1ggayl03vvv763az6eez66jzwuunyqkcusk8fwj,17754934798.0
138,bostrom1fjeq0urgk4x0s6pl2p2fes8c95426amp7lv4dv,17601345097.0
139,bostrom1tr3eyy9l480pxjk0ygudwpfus7j8pgdljn09jm,17537519175.0
140,bostrom16ahkkv0jzhtp73z83qlhqrypss6jpjm8eekpwv,17375703563.0
141,bostrom1jgh7ghrcr47tuahawzvg3svv2hxkxfx5u9lzr2,17333444802.0
142,bostrom1htq7u8gy9muv4fk6st04524tdzy8rv04528gys,16744189104.0
143,bostrom1402rpwdquxxkgvl740f6w69l65eau5vkqcvrax,16533932739.0
144,bostrom1kk9clwd4eva7ww95gn4rw3xzuwfs0983sl5cwt,16191669541.0
145,bostrom1mnfalar08dsvtwutmh43lnhx2zzmq7xhdulemj,15592862337.0
146,bostrom1s2a7rckcky6jmhncxwy0xtwf2ymg87puk6jpzz,14991446142.0
147,bostrom1fz799u9jc0umceng3nkjt0njxy6y3550uq06jn,14973655085.0
148,bostrom1k7cl9ya9qq30c7m4rvg3823hrc8k80eetqvhj8,14797976623.0
149,bostrom16d69u47km5vqdvf6fr8qyhktlacgka7fdvazr8,14751375909.0
150,bostrom16h7tyj5p69t3r7qasunf938cx2elp38fhqc7zr,14451060685.0
151,bostrom19y467lyhqlpa52y6snq9cxw47xhwq0th3p05r0,14256149914.0
152,bostrom16ge9uqpqf78jdt0uz58ycalhtg59w77qm9t7d2,14222312706.0
153,bostrom1lljcf37yxh24l3v4kwqsyghwz4ywlg6urg4kte,13616553392.0
154,bostrom1cjyv02cja896rr5y5lks79enk2nretn3mqyc69,13447758288.0
155,bostrom1463la66ac89tmlwgvx20c4d2jv84ekzs8kzh87,13368713572.0
156,bostrom1zeg2k7kd8qadmwd3kslwmag3erq7hqxt5aajjz,13163031473.0
157,bostrom1wzqyjejz5px38vgqsegafrcexl3963q9dsgqh9,13098969682.0
158,bostrom164k2s2s2td6a30d3rvnv93scy3v29psw4j3ndm,12701785716.0
159,bostrom1mnqlcc7mslzxcf798acp80u2fxudsuzdn0px6s,12677003041.0
160,bostrom1rya5547x4lrwc2npd63s89ny2dvhamv9dfx9x9,12090950492.0
161,bostrom18wn5kyxewwk6qh97493xtj9gufpmqserfahc37,12063356572.0
162,bostrom1ke6pp2kq2wx74tlh5fxqgp7af6jtsna3kktuh6,11975798321.0
163,bostrom1kf0d64nuwsf2zeul5wkx78fsznplnlpsfh7fqw,11673069511.0
164,bostrom1evz2xfd6sam0kzz5qc5lje4s90vcgyyrzz47pm,11323309556.0
165,bostrom1fpl40sref5vp8kfm7xkqlq5qc0v4xrjvk89kwa,11118481031.0
166,bostrom1d7n8znqg635yxnzlsycnt6kut8z5du5yftutrf,10958899451.0
167,bostrom1nywu6z26tpcrr2kcqe8z7t235wrfkhfcfhlzmk,10932888406.0
168,bostrom1mzmzlzk4xpm6zy68c43e6hen98w07yhfedumgg,10780033350.0
169,bostrom1nvr4qa7szsd3e7xfysn946gcqv5wyemlcxmxpw,10653917696.0
170,bostrom1wt9h9wm3zf7yzsy68x7v8p973w02kw8yyurh55,10537454450.0
171,bostrom143x4d5wx50204zyreqg8ekgq3n3fcaxucacztp,9826875134.0
172,bostrom16pdckvu70ufzvm8avd9anga6k35nu7axym02wp,9792986284.0
173,bostrom1udal5nr3lz7mg7j7k79se4rz0tsjj8lur45q99,9724669100.0
174,bostrom1ucl2c39dpwqm9pp6cvmlazn2tkwavszhs27j96,9691549420.0
175,bostrom1y83nga220nfjt9zz0mmqc90cd705az95n5cfwj,9608859331.0
176,bostrom18ghjkwygsvjcsh20tc5zzhfttxxuex7a9lq8ps,9561458741.0
177,bostrom18txzlmkqf264a2awhey6lmeq0dtv5ex69d2fcy,9333557553.0
178,bostrom1pswgrf5ap0kld3lpun5z4x08wh7nmgamd8mgex,8641145058.0
179,bostrom1a4mzr2y2g0cc9f0uhyeh3ftmsfxzqwxfdqtd7c,7092669793.0
180,bostrom1mmtt0cnsgwx3t90vs4tn9k08kw8xn4v3pggfu7,6701991111.0
181,bostrom1mryr27k3h8kqr5ahj82v0ym2xexdewfc9rmng8,6310270182.0
182,bostrom1gg73t0eyrkqf953waqxh6uqah62p46jyg82ulr,5787292447.0
183,bostrom184dur4s6pldvhvcyputu6yshsm09s6wmvylt8k,5728639830.0
184,bostrom1g2d9xyuf7ddgaj4llxvg50pfhlsr9ehf2r8dr6,5689509530.0
185,bostrom19vgwu99fdawejnedgsfx8dmxuc0z4emjf7a044,5014404214.0
186,bostrom1gxyf6tsjamnavmkfk43mwfzwscn4tgfkz8k85n,5000000000.0
187,bostrom15n3t80p7eseld809f7fu3s9tlcezlymkfeu59n,4294256393.0
188,bostrom1s6v5ragv9gg3sq7j3aeqtyy82uaxv3y05hzhh8,4273801138.0
189,bostrom1jx0az02ccnt4mgj2r9vhvycsdjsztrrgdkwzr3,4220671315.0
190,bostrom1pjvkddp4fmx8ym5j7s7su8kn3zuqj255djzpja,4022780851.0
191,bostrom1mlqakhlxplhlezk80lph99wcy377j9dk2qx3gg,4000000000.0
192,bostrom1nuc82t22xgp09rs2tdnlxxgm95pjg5matjwwye,3573424538.0
193,bostrom1r90j4656xsug2hkj57a3knqcs9huh3ea88ykhp,3475567070.0
194,bostrom1w4tk9lj8qtx2x4xf4emgrnq950hnlajsxlnl3u,3420409835.0
195,bostrom1s8l0akn79kk74g32kf86stfsa08ck9qmm4v6ws,3409436625.0
196,bostrom10aqelwndkz9k8uawp26elxep64ayc5rgn24h7p,3389782351.0
197,bostrom1ap7zhu5gxlk7n3g97dqehm9nnt3mje3nr5jecs,3368708754.0
198,bostrom1j6he98h8xwnt2yp9eczhhuff3k3hvk98gr27ee,3326309936.0
199,bostrom1mskldfjlnup46adzss7lukfh3emm6z4lmqhk7z,3275155354.0
200,bostrom12ysvrknuwdr6737fnc06v875whfh52xj3ewaf2,2961579452.0
201,bostrom10trdf5eyfcmc9graltx4hmpgznhrm7hdz82k2n,2941697143.0
202,bostrom1zl0t5703q42qx7drxsgl9thjwlul5x6unjhwgn,2742969308.0
203,bostrom1hyjhy0tp6geral2g9vj9nyteglf8t5q42gfq3j,2388890839.0
204,bostrom1jz57cgfr248y9w6sn76l7pugjkr6e7zh6y2grp,2378739020.0
205,bostrom15gk8edxtvvp372flljk884fav55y8ehwru4u8w,2279889403.0
206,bostrom1d8mq46wt2yxsgwrmh6hhfgycl0537w8gggn47f,2182283065.0
207,bostrom1wm4026rxqcrkh09k806m6y4lys942etx5cjz9z,2128629825.0
208,bostrom13q0m4hw6pmajqdqn4g464vzmst78sf55ktrp05,2064986311.0
209,bostrom1p0r7uxstcw8ehrwuj4kn8qzzs0yypsjwxgd445,2018839163.0
210,bostrom1ssu4wqtzvvmwcukcv7l8zxny647mdx03e0t57j,2001189000.0
211,bostrom12reh000lje8y20wshqmgl8tg70qggt2ac7qz45,2000000000.0
212,bostrom1hmrxmc27fu4ggdpvpxqtahn6uvtj38vuu77a02,1854496759.0
213,bostrom1gw5kdey7fs9wdh05w66s0h4s24tjdvtc9v6vpe,1799479675.0
214,bostrom1kajt7sxfpnfujm7ptj90654lmwz4sftpc9mp9a,1743792737.0
215,bostrom1y6huw3naar38u4rtgqmlh9smfu93gszst9tawp,1688512495.0
216,bostrom1jdmfxzpnqqlhjsju3mz7qsgvvdparw5acx7t62,1664373777.0
217,bostrom15kdrahda8qcyfa9xe8kt2f737m22x2sleslj5l,1631606648.0
218,bostrom1uwfk6h06w8vnhmyp48vwcpgwncsec8yv3z0xyg,1502715615.0
219,bostrom1smsn8u0h5tlvt3jazf78nnrv54aspged9h2nl9,1454337644.0
220,bostrom15kl5tv0smz5h8eewu5hs9mtnusz4dereyqxxtw,1408569410.0
221,bostrom1uew6fawa3ahu60tj5kspmr4u0zvljj69q4s3ps,1380580057.0
222,bostrom16qu2ymnzzjn05xc6yszjy50caaahcahdvmex5e,1362390306.0
223,bostrom1ezpth4mp3eeqdt49kgqd5ctr69xev6v2gykpur,1351419074.0
224,bostrom1avvkajdvmj9d8jpl0ga4scftjykeuhjpsa9kf5,1334996609.0
225,bostrom1gd9r9uhd8a5k2naudq4hua3vf3lkwhfrm63qhq,1301510822.0
226,bostrom1vrym7t34gs9t2dkd8z849zcymkj54kgq7pdf8z,1231063676.0
227,bostrom1lk3yjcn0lvwj9f2dj75m8y3smpq5s5zsnnj3nz,1202315516.0
228,bostrom1hqeqy4s039q0qcpayqcyaq5hyyvmph97t79m9n,1190379955.0
229,bostrom1mj0sj4eaar5qnjn3l05ep5wgq3l6agtvvqwvyk,1178234463.0
230,bostrom1hk49ws6ded79xmwehv7yrw3q6mfj7kulafxqhr,1108262797.0
231,bostrom1t575qeee3qgshuf964qal057z77vljqef9tlck,1099995800.0
232,bostrom1n55zyf6wlvh8jp4wxqgx4ta283jx0e2n2tutgm,1099456389.0
233,bostrom1vx9qctuxswd6ydcv4z5pcuuvct7y9l0nqq799x,1083041319.0
234,bostrom105zy26ze9gean4qukqlvhkv4mtcndc9t2xaydz,1006206924.0
235,bostrom178nsekn4qcdkqqmv95qlmp68kaqpga3zpsdnf4,1000000000.0
236,bostrom19trgcp8uldtc5xtnpf0u7x7dk3t3jcp4y7cusm,1000000000.0
237,bostrom180upuj8yp0326px2uys9r60xrlhpsa6fwryf80,1000000000.0
238,bostrom13uz23f4stcg8esqvvc7d2w9psxv0dya5xaq5ne,1000000000.0
239,bostrom143dfs4ur5gjvwgx8l54jjz27rq57us0zz3hqj0,1000000000.0
240,bostrom1fn4ep44ud3edyh304ta38f55xd6pxswsw9e23z,1000000000.0
241,bostrom1duc9gthaeg82lx9pdf642g043xqhgxgxmfvwsz,994320008.0
242,bostrom14h099ukgvp4fm9qs0xnmljzhevrmneq6m6cltv,978084362.0
243,bostrom1a30w6j4m6g3s2c6zt02z56xynnuaqmn3ahwxuq,974688373.0
244,bostrom1xpl2sx64ra5san4su0r0hj8z9eh5cf5dcv48qa,970654649.0
245,bostrom1hem3076xmat8ttr0cg0nnn2lghtc2p7xtzpj8s,951329198.0
246,bostrom1xhk0s2ynz2sq3ak3lr4u5gg0da4vyaxkfjhg7l,924447759.0
247,bostrom1ydc5fy9fjdygvgw36u49yj39fr67pd9mv67ety,894267502.0
248,bostrom1wkjn2nc4v5g3tpjj043wxtmeda90ql3yqqddav,814730401.0
249,bostrom1gh09lmm8flkuu3w38mr4axvunnu6qqlapuwzrv,760249650.0
250,bostrom1pmaltcu0x97x8j5klc8xluaapkzcvztcn2vkmw,736741030.0
251,bostrom1sm9sq4wnn62tk5yz0x3fvvx2ea9efguqwvdu64,722135415.0
252,bostrom1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4uwev5z,704276829.0
253,bostrom1m0tjgkrh4td9fcp8nnssu3rfdahzfgdshsall9,682238027.0
254,bostrom1u3ap2d4ytcqrr6jlsjf380g3lvgldq4m64s7dg,675487504.0
255,bostrom1keny4peq77drtcdj6fscd9eknqcqyjmxqcr8t8,647527281.0
256,bostrom1gyhwacrpqwues05pkavw7xwehcqsmgruy34zps,564067516.0
257,bostrom16w2xwdzf6tzucpwcjjqtg9656a4kkv7g2f6vk9,458125791.0
258,bostrom1nsffk0nt927vn7pdsk8epzjeqch3yfzkzq57pl,400000000.0
259,bostrom19wlc6vms3qkuy48wgg2dl06veahgxl47s8859j,400000000.0
260,bostrom1ysn8jyjv464fv4wpt40vezh7d5tw05tc9v858t,400000000.0
261,bostrom19lsruwa85k93ahzkdwaydyrl6ehz9dmmkava0y,400000000.0
262,bostrom1rc2647d9nftgwwh9n5vaw26lnjdrewc4dum68g,400000000.0
263,bostrom1nqxwnut0hdgsn3l9zaladaft5xt9c6ex9qquza,400000000.0
264,bostrom10a9mqy8cu04nyz3nj934ck39p6u9ddjt9y5fve,400000000.0
265,bostrom17jq8ev7n4e3zv8zdek5mccvxcgxxtkwva5vwtx,400000000.0
266,bostrom1e4cnw86pl73k2sfv7uwauflfl42qzncn4akyv7,400000000.0
267,bostrom18ghdg8y5hx6esxm6ndw3ywgtalvkmz48zeyc6z,400000000.0
268,bostrom1fzkp5pux48ux72wsgls9lhxp5cq2tqsy32hfec,400000000.0
269,bostrom14thj9udwenk5q8c5ey2urude2j54xud2a26rp3,400000000.0
270,bostrom1pt3a6xk432vs8lp0z6ya3qhqhxks99xe4sxxqq,400000000.0
271,bostrom1gfkztltd789py02jcd79dnkl252uej7x8pnx4p,400000000.0
272,bostrom1hmdjgtv3yq4qzyuk3ynyt42sjntma8hqarepjd,400000000.0
273,bostrom1ypzhtfsyuejekw0w0z207wyedqm3xqafc8nu7g,400000000.0
274,bostrom1u2s32xsws9y2sskz6zvn7lawepdqxad5dcsyy6,330695020.0
275,bostrom14z6glatrayal5j53632kcefskyge6ujmgshqfv,327466267.0
276,bostrom1glgevt43557u6s7a2q9q40kzt8myw4ngcv6wr6,309112576.0
277,bostrom1g36u05ehktgw5h5udj8hyudd9057d9tx9r6zef,303617054.0
278,bostrom14n625exc6ftee3t6tez3hj47lv49amjzan5pkr,236797768.0
279,bostrom1z8mlsd42eaguaqf5gexy5a7jxgpwpgvz99qzft,218609970.0
280,bostrom1v2n3hg6s4resacgpemfyrd5hul2ntk7tftnk6u,218382779.0
281,bostrom1ufpz4dlnfawg0pr5dcq4hkrf9gs30mu0272p9w,218341548.0
282,bostrom1mkhugmqg9c0qe27stz3m4my9xq7e9pct0jyr3p,218115192.0
283,bostrom1yvlp9gzqaufwz02swp5wqsqhlmfcrcl8m22gzm,200785547.0
284,bostrom1prrtyfgrw2tzj9kua5eu7tnctt474m36eygux2,200000000.0
285,bostrom1ppzvqc7yf9lfs8cljqu6w992gct6d5h9jx5wsn,200000000.0
286,bostrom1zy3nxgwtw9hr99tzfaxasgwklm9ev843fju9zl,200000000.0
287,bostrom1pzp9nadejsjzfkpfl9k7ktu2cfhprw4r7qvd5p,200000000.0
288,bostrom1pv5clfxxfpqvuerquue2vgr2ndgh0h50jx898c,200000000.0
289,bostrom1ypvt8rf8md7qedvnk0p8cvd6mnffepst8f05p7,200000000.0
290,bostrom1pvu65ccqw3fmgq88j2j485wc6qm96nx7h7ln4f,200000000.0
291,bostrom1p4uyyk8sc2arl4n9egw3xrn9g7rpkzlerf4nlc,200000000.0
292,bostrom1zx70t5xqc8h4kmvrssdc2w82v9ksw0r82a99av,200000000.0
293,bostrom1yq5h0gjxuup83hdz53utukwhkkz684mk3lx7cr,200000000.0
294,bostrom1z6lhk6u25fceqylmgv65t5py0c8kclgkszmqyx,200000000.0
295,bostrom1zq9f4eczclr5cexrxdusfxxr6eumn2rlg2h4hs,200000000.0
296,bostrom1znt56em2psvx8ylfpplcmpy5esrea08g2psvxm,200000000.0
297,bostrom1zg3xqymyrvlu5fmmyx8htdm84kqt50t7xdfmuj,200000000.0
298,bostrom1zejjt25xw9gwvhave95ykkvgqjtk7j56fe9cwh,200000000.0
