,subject,multisigs,pre_bostrom_heroes,comm_pool,cyberd_bot_sergey,delegation,euler-4,inventors,investors,lifetime,load,port,relevance,sergeandmyself_rewards,takeoff,posthuman_rewards,sum
68,bostrom1dxpm2ne0jflzr2hy9j5has6u2dvfv68calunqy,,4988415157.0,,,4744433641.0,74273271492.0,,,15809132022.0,,,,,,,99815252312.0
69,bostrom16macu2qtc0jmqc7txvf0wkz84cycsx728ah0xc,,,,,,,,,,16103705.0,,55778469820.0,,42201602776.0,,97996176301.0
70,bostrom18naxcfp2s397a2ucav2m53f003uylk3qz9fvr7,,4142711286.0,,,15259397818.0,19980209562.0,,,26399274499.0,26611568430.0,658690702.0,2462577501.0,,,,95514429798.0
71,bostrom17z2fywzrdld7qmwzpsq0atxfwcns8rp833rgxy,,,,,,,,,,,,,,95223358775.0,,95223358775.0
72,bostrom1tu0e0ggvjtv4gvzcranjnrykac0umnf8y8fm0r,,,,,,,,,,,,,,92010985676.0,,92010985676.0
73,bostrom1sltcfypwms38jjj3g38rg7ldx3e6uqrzrnkf9y,,,,,,,,,,,,,,91965450766.0,,91965450766.0
74,bostrom1en69twaxmv7xupy8lq7y539dpecx7yz8g0k8ft,,3870252487.0,,,18669971823.0,35149508757.0,,,24919735783.0,5528676770.0,,301861873.0,,,,88440007493.0
75,bostrom12xsg4qm4k5z48s79zdsz84jlhv56kmta3vyfvl,,,,,,74772629353.0,,,,,,,,,,74772629353.0
76,bostrom1f7nx65pmayfenpfwzwaamwas4ygmvalq2q2ayq,,2895940703.0,,,47095487433.0,2952355930.0,,,20394243142.0,,,,,,,73338027208.0
77,bostrom1daxxqs56f6j5qxxtjrjkexghsmnaj66tejshc8,,3760032860.0,,,45885621564.0,,,,23275608448.0,,,,,,,72921262872.0
78,bostrom152m9xcx0ht7yxr5834ju7qjcyvetw8amd04apw,,4504119534.0,,,26069696989.0,,,,15467407648.0,25296563469.0,,,,,,71337787640.0
79,bostrom1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9qtp86sk,,1188688448.0,,,4338666110.0,50221478847.0,,,14835497059.0,322859641.0,,,,,,70907190105.0
80,bostrom1my32szlwazg9x56xqvsvtp0hqvpzm0r4u3k4ae,,,,,,70179119586.0,,,92845309.0,,,,,,,70271964895.0
81,bostrom1g0ap9fvex93yzzj69uzl74942vjvq8e4f8xtyr,,,,,,67992083477.0,,,,,,,,,,67992083477.0
82,bostrom16zms8r32vad3z8hl2vc6wrcnanwmxf0dgh25yp,,,,,,67229160818.0,,,,,,,,,,67229160818.0
83,bostrom18z9vsjffvggluxcxfqwsmrz02v37hx2e3auyn2,,,,,,57929970902.0,,,5741693919.0,,,,,,,63671664821.0
84,bostrom1d3zlsrjyl3tzp3aly7vjduhrtrtvkvkeaqpdku,,,,,,63422106566.0,,,,,,,,,,63422106566.0
85,bostrom1stfw0z5nf2ncxxtrk7zndpf2dla3nh379egwcy,,,,,11914393376.0,,,,11189940762.0,36938756433.0,,1635757102.0,,,,61678847673.0
86,bostrom18jwk949jqgq3j2du2dgscqxqkkqw5rsjfuucf3,,,,,,61558395847.0,,,,,,,,,,61558395847.0
87,bostrom13fwhvawke6867s6raqux25fd24t89j5h8wf2v0,,,,,,60883067675.0,,,,,,,,,,60883067675.0
88,bostrom1lpfs6xv765u4yxr8rlyn5ux0g2a8tyt90hsnas,,,,,,,,,,,,,,59256843788.0,,59256843788.0
89,bostrom147rnn0rxqkythj4j9ccq0kytmh7f005rn0a3zj,,,,,11199572491.0,,,,13133148758.0,30186983650.0,,792143948.0,,,,55311848847.0
90,bostrom1njsr8tngxtygsc73mrtn5738ztkzqy7c7y7h3t,,3209803615.0,,,15230667266.0,,,,17888573509.0,,,,,14737589328.0,,51066633718.0
91,bostrom1argjwgcplguenq4l92ggn06wadnfrz0ecqrmqs,,5612582845.0,,,20472680990.0,,,,24506572852.0,,,,,,,50591836687.0
92,bostrom1smqr5tp684g07aekcn0w852wqlme5mn6dmsny3,,,,,,,,,,,,,,47098839942.0,,47098839942.0
93,bostrom1dl5df5g2xwj02e93k547etw2ergvc3a20v5ekz,,,,,,46480474242.0,,,,,,,,,,46480474242.0
94,bostrom1eqkdzfcjnu20ywju35rf3nutxzjxjaqnxqfyyz,,,,,,,,,,,,,,44081312892.0,,44081312892.0
