,subject,reward,discipline,audience
116,bostrom1my32szlwazg9x56xqvsvtp0hqvpzm0r4u3k4ae,92845309.0,gol.lifetime,heroes
117,bostrom1n89a8avc4j7cv75lfsyynx5kazlk80ar5qcdx6,40897910.0,gol.lifetime,heroes
118,bostrom1679yrs8dmska7wcsawgy2m25kwucm3z0hwr74y,264078762041.0,gol.load,heroes
119,bostrom1zy553za8nenzukmv65240323jhuvxzym4pl6w9,44831928383.0,gol.load,heroes
120,bostrom1stfw0z5nf2ncxxtrk7zndpf2dla3nh379egwcy,36938756433.0,gol.load,heroes
121,bostrom147rnn0rxqkythj4j9ccq0kytmh7f005rn0a3zj,30186983650.0,gol.load,heroes
122,bostrom15zs0cjct43xs4z4sesxcrynar5mxm82f0ykhl3,29730581092.0,gol.load,heroes
123,bostrom18naxcfp2s397a2ucav2m53f003uylk3qz9fvr7,26611568430.0,gol.load,heroes
124,bostrom152m9xcx0ht7yxr5834ju7qjcyvetw8amd04apw,25296563469.0,gol.load,heroes
125,bostrom1ymprf45c44rp9k0g2r84w2tjhsq7kalv98rgpt,11978014123.0,gol.load,heroes
126,bostrom16yf94eecl6h44l5w7zp75skh3rg0k4veavx762,10185396846.0,gol.load,heroes
127,bostrom1en69twaxmv7xupy8lq7y539dpecx7yz8g0k8ft,5528676770.0,gol.load,heroes
128,bostrom1hmkqhy8ygl6tnl5g8tc503rwrmmrkjcq3lduwj,4614693334.0,gol.load,heroes
129,bostrom1s2a7rckcky6jmhncxwy0xtwf2ymg87puk6jpzz,2752947960.0,gol.load,heroes
130,bostrom1udal5nr3lz7mg7j7k79se4rz0tsjj8lur45q99,2666930610.0,gol.load,heroes
131,bostrom19ys53t55r725j882gjcrnf7s449gdrds3h2hu4,1274549312.0,gol.load,heroes
132,bostrom1n55zyf6wlvh8jp4wxqgx4ta283jx0e2n2tutgm,984682627.0,gol.load,heroes
133,bostrom1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9qtp86sk,322859641.0,gol.load,heroes
134,bostrom1dt9lwmuq8rkngm5gajxchqhpcnavgp7md9v929,321681321.0,gol.load,heroes
135,bostrom1glgevt43557u6s7a2q9q40kzt8myw4ngcv6wr6,309112576.0,gol.load,heroes
136,bostrom1mj0sj4eaar5qnjn3l05ep5wgq3l6agtvvqwvyk,226237413.0,gol.load,heroes
137,bostrom1wnpak7sfawsfv9c8vqe7naxfa4g99lv77d7c0z,192458910.0,gol.load,heroes
138,bostrom1cjyv02cja896rr5y5lks79enk2nretn3mqyc69,175176885.0,gol.load,heroes
139,bostrom1sm9sq4wnn62tk5yz0x3fvvx2ea9efguqwvdu64,128044091.0,gol.load,heroes
140,bostrom1a4mzr2y2g0cc9f0uhyeh3ftmsfxzqwxfdqtd7c,119010306.0,gol.load,heroes
141,bostrom1qn8sr2hzmktlecusdtxj9hwj0upnm0jft9snar,93872815.0,gol.load,heroes
142,bostrom190y8vwhmyjdnk7cfutcm7u8haw80xyejdwxsql,56952126.0,gol.load,heroes
143,bostrom1rfh303jsl5297sxgs5txpt97lvxpjt4he3yy5r,54988260.0,gol.load,heroes
144,bostrom1cg79pj70mgl8xlum0rw5yy6enk9jszsrzvwysn,49096661.0,gol.load,heroes
145,bostrom1gw5kdey7fs9wdh05w66s0h4s24tjdvtc9v6vpe,43597835.0,gol.load,heroes
146,bostrom177y7sqkxmvl22j632haf8y9gv0j3wedssq5m50,28672450.0,gol.load,heroes
147,bostrom12u6qgyrdsy4xmw04vfkkkh9a9tqzw66g59hudt,27886903.0,gol.load,heroes
148,bostrom1p0r7uxstcw8ehrwuj4kn8qzzs0yypsjwxgd445,26708583.0,gol.load,heroes
149,bostrom1pjvkddp4fmx8ym5j7s7su8kn3zuqj255djzpja,22780851.0,gol.load,heroes
150,bostrom16macu2qtc0jmqc7txvf0wkz84cycsx728ah0xc,16103705.0,gol.load,heroes
151,bostrom13nrdf490fsuv4rwjp02hlyvalqjkn5u6xxqvqz,14925385.0,gol.load,heroes
152,bostrom1fp9q2t9zn9gr5qjh9wljxuavtcsc4h8uqgnm2e,12175972.0,gol.load,heroes
153,bostrom1u2s32xsws9y2sskz6zvn7lawepdqxad5dcsyy6,10212105.0,gol.load,heroes
154,bostrom158mysantvvk7x65tfhhuu8q2va4ls34r54hk78,9819332.0,gol.load,heroes
155,bostrom1d8754xqa9245pctlfcyv8eah468neqzn3a0y0t,7069919.0,gol.load,heroes
156,bostrom1ucl2c39dpwqm9pp6cvmlazn2tkwavszhs27j96,5891599.0,gol.load,heroes
157,bostrom1clalfxmsrqdgnqq5uxlx0mc983pyp3wq4xl03c,4713279.0,gol.load,heroes
158,bostrom1wf8alywyvlxy2dqfe38efdpdmuscfpf4jxvg6r,4320506.0,gol.load,heroes
159,bostrom13zf8kghx7h5fyttk6xdnjqn9c87z0rd36sfqjw,4320506.0,gol.load,heroes
160,bostrom1sng0f47cuvx6edxaujh24wc3dvk94q0w6r6smh,3927733.0,gol.load,heroes
161,bostrom1hyjhy0tp6geral2g9vj9nyteglf8t5q42gfq3j,3927733.0,gol.load,heroes
162,bostrom1cc43k76udpd3xvpn6md76zz3ru6nvcnreeg2eq,3927733.0,gol.load,heroes
163,bostrom1l5x6kerswths5xl0d6672y9yyn9mg2vw8yz59q,3142186.0,gol.load,heroes
164,bostrom1qe4sguqg8ztlyy7psf7lzwr4ahph9j36k5hltz,2749413.0,gol.load,heroes
165,bostrom1mn8ev805fde2xswght0snwfayfj9tn54dt24zg,2749413.0,gol.load,heroes
166,bostrom16vc2mjjfxx2h5m6jpdp4nqfu5095qaeeq27qxj,2749413.0,gol.load,heroes
167,bostrom1u3ap2d4ytcqrr6jlsjf380g3lvgldq4m64s7dg,2356640.0,gol.load,heroes
168,bostrom1pmaltcu0x97x8j5klc8xluaapkzcvztcn2vkmw,2356640.0,gol.load,heroes
169,bostrom1jmhqgld7luvuhh42wac24z6nlggjvkc7fzgs62,2356640.0,gol.load,heroes
170,bostrom1qjknpllzp6w6qsxxjx52zxald29wpyzljznzdv,1571093.0,gol.load,heroes
171,bostrom1mnrwpdlnglhtqwa55fa66va0j3fv72nvkz4e2x,1571093.0,gol.load,heroes
172,bostrom1eq2h9enjxsg5s08scr69lzwde8fl79snw20dc8,1571093.0,gol.load,heroes
173,bostrom1dx8mvxfu6mpfnjehvdkp9lsvu78ek2gjr7r766,1571093.0,gol.load,heroes
174,bostrom19uryr2zuxcfdevfq429jng9a2evxwadlsky04c,1571093.0,gol.load,heroes
175,bostrom16862syzdtc6h0sxz92jhnjjas5yhhjgzvyewwd,1571093.0,gol.load,heroes
176,bostrom1teuan269feyw4ax94jfp4pcgrhqnn28gxxz8mw,1178320.0,gol.load,heroes
177,bostrom1ggc9sqvj0uhnzwxu5dyzcr05shwd2vv2guqmas,1178320.0,gol.load,heroes
178,bostrom1duc9gthaeg82lx9pdf642g043xqhgxgxmfvwsz,1178320.0,gol.load,heroes
179,bostrom1yvlp9gzqaufwz02swp5wqsqhlmfcrcl8m22gzm,785547.0,gol.load,heroes
180,bostrom1latzme6xf6s8tsrymuu6laf2ks2humqvfcz7m6,785547.0,gol.load,heroes
181,bostrom1ec9da8avgv7tnvsx3v8g8veqrhlqq26lnncg5t,785547.0,gol.load,heroes
182,bostrom1e20hw2pqcgxvumkwn2qeeavcrswzskzjhr2aq0,785547.0,gol.load,heroes
183,bostrom1c7pv6zyza76f3yhv0zvjc042e8m7w796qmvkse,785547.0,gol.load,heroes
184,bostrom1yslufs9kq762qty0wh62c8qtlpm2202ejmw4ef,392773.0,gol.load,heroes
185,bostrom1y935ede6znmcvqdmn6mnl2aa5zxcqvvracsczu,392773.0,gol.load,heroes
186,bostrom1y675phjdvw576ahlcmlamrzr28rjht9mx709lg,392773.0,gol.load,heroes
187,bostrom1kjhdx3nkh6krdhryvjzkq33xwh6wsyy7y8ark6,392773.0,gol.load,heroes
188,bostrom1jxpe7neu764uasz5y5u4lrr5jtltv430gjm9dw,392773.0,gol.load,heroes
189,bostrom1hq8d6pu2l6wkrwu9jxcqjcu55g8l43zxmrd6dk,392773.0,gol.load,heroes
190,bostrom1c4h647a9rj8n9zye5ttmh9chpg66f3ffdvdds0,392773.0,gol.load,heroes
191,bostrom14ysuwg6p4fzfaa6tg4s3hazu86pfevsw4cegce,392773.0,gol.load,heroes
192,bostrom1e4cnw86pl73k2sfv7uwauflfl42qzncn4akyv7,200000000.0,gol.posthuman,masters
193,bostrom1jcj0w0e2khy0asm7dz8883xnepzmaxylwez7j2,200000000.0,gol.posthuman,masters
194,bostrom1q22fvnhna2zg2g2xm6s5587w8fvsh2zzfeey68,200000000.0,gol.posthuman,masters
195,bostrom1amletsu7926696dpeay8wrewqgww5s7yunjjxr,200000000.0,gol.posthuman,masters
