,subject,reward
2,cyber10905rstxf5tzj0w6gguaa76ma7s32v48crx4jl,50000000
77,cyber1exv982mrkyfd967xv7fam7lq8h3ce3dvut7w8v,50000000
76,cyber1exul86z68fzck5jra7jp8xdwvmfz5p9qqyyutx,50000000
69,cyber1e0c3ehnfzvcxvwh9fgzyfc2vqshy9w53fydvy3,50000000
20,cyber150svyax8m8dwljwenc8xxtsg0avud07ms3sy5l,12320000
193,cyber1yvlp9gzqaufwz02swp5wqsqhlmfcrcl8ljen4x,12219000
19,cyber14tjwqqyha0c9r0s29dm0n0zdpdc4hfrvhxpm8a,11310000
181,cyber1x8r0ktn36dsxsadnp3863txyd9pksrp6ekt82q,11260000
160,cyber1tyzmkpn0axquu4jlht3lllsmq03um8knsq00kk,11210000
78,cyber1f2uslv6udnjwyqkdngc7rswp5vkmgavzvuk0a4,11100000
155,cyber1t7gw3d2jz4qc6k6umgkazvfyeydjv7l6hug3df,4870000
201,cyber1zejjt25xw9gwvhave95ykkvgqjtk7j56dpkre2,3409000
170,cyber1vesdfkzd36m08clhvkpusq4gv0dnqm288revwe,3184000
189,cyber1ypvt8rf8md7qedvnk0p8cvd6mnffepstr3u0kr,2860000
117,cyber1mzn966mlprxgkvayrqu209069px0qwz7v6q9jc,2099000
27,cyber167hs9ma63wd02xym0vjw80uqlekt0cs539rtd3,2099000
39,cyber17tksas9e4nkp25vgwcsd7z6y83pa6u7sf4hlwl,2099000
187,cyber1y7ku6vf9vq53pv4y6lw2zjn4d5ul3javlae4ql,2099000
59,cyber1cjeg60652ueyu5222l3atmm8vrhlq4tfcgqtet,2099000
14,cyber13855g4d5pfhtnqemgp700qs36qpjdnazt443vf,2069000
8,cyber12arnsa069zhad0e40mlgy034n7aq77e2h77hww,2019000
112,cyber1m3yh7j0jefp9dl26cz8fqexfg8tds39lna899n,2019000
164,cyber1ueywgan39tj27pdysq0d54cqvcwyggf6a52tcr,2019000
49,cyber197h938dvw52kzf2l7gke2u5tcz3grvlezpwmce,2019000
131,cyber1pkxtd9xwmqwg08kjgz9xqyee3aw7j8upflkxq8,2019000
97,cyber1hyjhy0tp6geral2g9vj9nyteglf8t5q4ws6mx0,1982500
87,cyber1gh8tenvx2sf9kj2c359ey6s5k0vzlrl7xdc0jl,1660000
