,subject,comm_pool,delegation,euler-4,lifetime,takeoff,sum
21,cyber1ggc9sqvj0uhnzwxu5dyzcr05shwd2vv2vynq2d,,,180243413335.0,6732817375.0,,186976230710.0
22,cyber12q68xfj4r00nxnjrqk742rf0z2w6jmwaaejh5j,,,183750995527.0,,,183750995527.0
23,cyber1lepnu7nt05g79jtmfp2pgrpys3fjc4p73gt5gh,,,,,182911039870.0,182911039870.0
24,cyber1zhy7l8phhpsm2c6xl9c5arcu0z90clynmyacef,,,161481707259.0,,,161481707259.0
25,cyber1d5lu67hu3lhqtw6zyv7uy4gkfpdtfnzxfyfq5a,,,,,157995617348.0,157995617348.0
26,cyber1x95keq9l9y9p7hjdt6xd8wnknrpnjsqry0j40c,150000000000.0,,,,,150000000000.0
27,cyber1k60sfzh3ecyqfv36f7zav0089077e4zk3sfq3q,,,146840247453.0,,,146840247453.0
28,cyber16jttzjgks48kqrhk5e68yv0gv6dt0rpww386ew,,,,,141302079887.0,141302079887.0
29,cyber1kpep8dl93ud4wgpws3tcew6as2s36c9v4qr4sc,,,140997260087.0,,,140997260087.0
30,cyber16lvsv3w7rnhcm079v6j9eah3xd0p3pd360vws0,,,122742180846.0,,,122742180846.0
31,cyber1e20hw2pqcgxvumkwn2qeeavcrswzskzjnmexhj,,,,,119453574443.0,119453574443.0
32,cyber1mnrwpdlnglhtqwa55fa66va0j3fv72nvj6xzam,,1737571043.0,106192910312.0,6897780406.0,,114828261761.0
33,cyber1dt9lwmuq8rkngm5gajxchqhpcnavgp7mfal7ac,,9987047512.0,90918587064.0,10957918915.0,,111863553491.0
34,cyber14nzyt8wmx4g6zkeluelukamgsh5v4xgnuj8dd0,,,,,108729659282.0,108729659282.0
35,cyber1zy553za8nenzukmv65240323jhuvxzym3evpec,,22107148994.0,,13440309740.0,72024951997.0,107572410731.0
36,cyber1xvssufw8ke03halg8wgu8m994ktxz0y9grfshw,100000000000.0,,,,,100000000000.0
37,cyber1vtu55cc7m6yz9zfg5vqdk80f2g68petgx2kjmg,100000000000.0,,,,,100000000000.0
38,cyber1vxxfhd8txmrq76jx3gj7sdrvg0vvqret7w46ls,100000000000.0,,,,,100000000000.0
39,cyber1z98eg2ztdp2glyla62629nrlvczg8s7fgqueyu,100000000000.0,,,,,100000000000.0
40,cyber17z2fywzrdld7qmwzpsq0atxfwcns8rp84fsn3e,,,,,95223358775.0,95223358775.0
41,cyber1dxpm2ne0jflzr2hy9j5has6u2dvfv68ce80ghe,,4744433641.0,74273271492.0,15809132022.0,,94826837155.0
42,cyber1tu0e0ggvjtv4gvzcranjnrykac0umnf8ql6qc7,,,,,92010985676.0,92010985676.0
43,cyber1sltcfypwms38jjj3g38rg7ldx3e6uqrz8t9jje,,,,,91965450766.0,91965450766.0
44,cyber1en69twaxmv7xupy8lq7y539dpecx7yz8vh9u7k,,18669971823.0,35149508757.0,24919735783.0,,78739216363.0
45,cyber12xsg4qm4k5z48s79zdsz84jlhv56kmta45hjmz,,,74772629353.0,,,74772629353.0
46,cyber1sng0f47cuvx6edxaujh24wc3dvk94q0w7mftv2,,,,,74217807211.0,74217807211.0
47,cyber15zs0cjct43xs4z4sesxcrynar5mxm82ftu9vgv,,15464386326.0,37624877989.0,20503040116.0,,73592304431.0
48,cyber1f7nx65pmayfenpfwzwaamwas4ygmvalqwcexna,,47095487433.0,2952355930.0,20394243142.0,,70442086505.0
