,subject,comm_pool,delegation,euler-4,lifetime,load,relevance,takeoff,port,sum
31,cyber1x95keq9l9y9p7hjdt6xd8wnknrpnjsqry0j40c,150000000000.0,,,,,,,,150000000000.0
32,cyber1k60sfzh3ecyqfv36f7zav0089077e4zk3sfq3q,,,146840247453.0,,,,,,146840247453.0
33,cyber16jttzjgks48kqrhk5e68yv0gv6dt0rpww386ew,,,,,,,141302079887.0,,141302079887.0
34,cyber1kpep8dl93ud4wgpws3tcew6as2s36c9v4qr4sc,,,140997260087.0,,,,,,140997260087.0
35,cyber16lvsv3w7rnhcm079v6j9eah3xd0p3pd360vws0,,,122742180846.0,,,,,,122742180846.0
36,cyber1e20hw2pqcgxvumkwn2qeeavcrswzskzjnmexhj,,,,,785547.0,,119453574443.0,,119454359990.0
37,cyber1ke7kxdn29w2lrxt9dzusa6shvmwd8xm9v7g345,,37576877634.0,,4443209216.0,,73420928895.0,,,115441015745.0
38,cyber1mnrwpdlnglhtqwa55fa66va0j3fv72nvj6xzam,,1737571043.0,106192910312.0,6897780406.0,1571093.0,,,,114829832854.0
39,cyber1dt9lwmuq8rkngm5gajxchqhpcnavgp7mfal7ac,,9987047512.0,90918587064.0,10957918915.0,321681321.0,46807970.0,,,112232042782.0
40,cyber14nzyt8wmx4g6zkeluelukamgsh5v4xgnuj8dd0,,,,,,,108729659282.0,,108729659282.0
41,cyber15zs0cjct43xs4z4sesxcrynar5mxm82ftu9vgv,,15464386326.0,37624877989.0,20503040116.0,29730581092.0,3719085456.0,,,107041970979.0
42,cyber1xvssufw8ke03halg8wgu8m994ktxz0y9grfshw,100000000000.0,,,,,,,,100000000000.0
43,cyber1vxxfhd8txmrq76jx3gj7sdrvg0vvqret7w46ls,100000000000.0,,,,,,,,100000000000.0
44,cyber1vtu55cc7m6yz9zfg5vqdk80f2g68petgx2kjmg,100000000000.0,,,,,,,,100000000000.0
45,cyber1z98eg2ztdp2glyla62629nrlvczg8s7fgqueyu,100000000000.0,,,,,,,,100000000000.0
46,cyber16macu2qtc0jmqc7txvf0wkz84cycsx72r9y539,,,,,16103705.0,55778469820.0,42201602776.0,,97996176301.0
47,cyber17z2fywzrdld7qmwzpsq0atxfwcns8rp84fsn3e,,,,,,,95223358775.0,,95223358775.0
48,cyber1dxpm2ne0jflzr2hy9j5has6u2dvfv68ce80ghe,,4744433641.0,74273271492.0,15809132022.0,,,,,94826837155.0
49,cyber1tu0e0ggvjtv4gvzcranjnrykac0umnf8ql6qc7,,,,,,,92010985676.0,,92010985676.0
50,cyber1sltcfypwms38jjj3g38rg7ldx3e6uqrz8t9jje,,,,,,,91965450766.0,,91965450766.0
51,cyber18naxcfp2s397a2ucav2m53f003uylk3qxa6h5r,,15259397818.0,19980209562.0,26399274499.0,26611568430.0,2462577501.0,,658690702.0,91371718512.0
